Clock  ,Queue  ,CPU    ,NewIO? ,p1     ,p2     ,p3     ,p4     ,p5     ,p6     ,p7     ,p8     ,p9     ,p10    ,p11    ,p12    ,p13    ,p14    ,p15    
72     ,0      ,p7_2   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,READY  ,RUNNING,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,READY  ,READY  
73     ,0      ,p1_7   ,True   ,RUNNING,READY  ,READY  ,WAITING,WAITING,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,READY  ,READY  
74     ,1      ,p6_3   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,RUNNING,READY  ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,READY  ,READY  
75     ,0      ,p4_11  ,       ,WAITING,READY  ,READY  ,RUNNING,WAITING,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,READY  ,READY  
76     ,0      ,p4_12  ,True   ,WAITING,READY  ,READY  ,RUNNING,WAITING,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,READY  ,READY  
77     ,1      ,p12_9  ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,DONE   ,RUNNING,DONE   ,READY  ,READY  
78     ,1      ,p12_10 ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,DONE   ,RUNNING,DONE   ,READY  ,READY  
79     ,1      ,p12_11 ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,DONE   ,RUNNING,DONE   ,READY  ,READY  
80     ,0      ,p4_13  ,       ,WAITING,READY  ,READY  ,RUNNING,WAITING,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,READY  ,READY  
81     ,0      ,p4_14  ,       ,WAITING,READY  ,READY  ,RUNNING,WAITING,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,READY  ,READY  
